"Countryname","Countrycode","YEAR","GDPP","GDPPG","PPP","POPG","g_cal","ERP","ERS","ERT","LEXT","GEHT","RP","RG","AF","CTP","INV","INF","EXG","DEV","ICTT","ICTM","ICTI","ICTE","CPT","g","logit_g","logCPT","logINV","logINF","logEXG","logPPP","logg","devICTI","numDEV"
"Australia","AU",1990,18211.2745901556,2.04908201949108,17332.3338671753,1.47997801595662,-0.125601404224428,106.37172,NA,35.35955,76.9946341463415,NA,NA,NA,54,NA,39.2086,7.33302195235869,4.67044278512847,"1",NA,NA,NA,NA,NA,0.124,1,NA,3.66889611048954,1.99238770274671,1.54125388198884,9.76032904572385,-2.0874737133771,NA,1
"Australia","AU",1991,18821.4773892062,-1.6586900011286,17784.3566873561,1.27457757809254,-0.138786141178803,106.09681,NA,38.31347,77.2756097560976,NA,NA,NA,55,NA,39.2202,3.17667536988686,11.2555815436955,"1",NA,NA,NA,NA,NA,-2.192,0,NA,3.66919192019426,1.15583516872778,2.42086414283243,9.78607451208686,NA,NA,1
"Australia","AU",1992,18569.8127525565,-0.79850510873662,18176.8910772513,1.21339077499647,-0.0480055542697044,105.974,NA,39.70084,77.3780487804878,NA,NA,NA,92,NA,42.5068,1.01223112610711,9.45559834491195,"1",NA,NA,NA,NA,NA,1.52,1,NA,3.74966406313174,0.0121569302706139,2.24660698354671,9.807906345256,0.418710334858185,NA,1
"Australia","AU",1993,17634.2563519674,3.01661315834043,19118.8704992054,0.9783366810892,-0.193716730628642,105.87717,134.35475,65.56422,77.8780487804878,NA,NA,NA,132,NA,52.6261,1.75365344467641,7.41038221787642,"1",NA,NA,NA,NA,NA,2.951,1,NA,3.96321219439692,0.561701294426445,2.00288201933756,9.85843111055109,1.0821440959608,NA,1
"Australia","AU",1994,18046.0202439789,2.88783404568591,20051.3802104269,1.05850884158683,0.081947413449093,105.82989,132.61827,66.97922,77.8780487804878,NA,NA,NA,154,NA,65.226,1.96963479688142,9.48874258310981,"1",NA,NA,NA,NA,NA,3.876,1,NA,4.17785816244992,0.67784814327078,2.25010610469761,9.90605326879074,1.35480369402852,NA,1
"Australia","AU",1995,20319.6306283956,2.58924499499122,20878.6635099155,1.20801981192904,0.141246784597543,101.29127,143.23387,70.68857,77.8292682926829,NA,290,168,172,NA,65.9731,4.62776659959758,4.41338044898446,"1",NA,NA,NA,NA,NA,1.556,1,NA,4.18924708318728,1.53207437582061,1.48464093753553,9.94648303180216,0.4421184257562,NA,1
"Australia","AU",1996,21861.32550987,2.52276734429178,21957.4016367586,1.31381929938745,0.087580920787601,101.58029,148.636,75.64778,78.0780487804878,NA,5,169,182,NA,70.5695,2.61538461538462,9.95954468215203,"1",NA,NA,NA,NA,NA,2.956,1,NA,4.25659803982397,0.961411167154626,2.29853135590819,9.99685956607082,1.08383700308596,NA,1
"Australia","AU",1997,23468.5968306374,2.80987849293575,22924.9150145466,1.11872568961022,-0.148493487550525,101.18403,152.93597,80.90665,78.4804878048781,NA,13,174,199,NA,70.8727,0.224887556221881,10.884085427753,"1",NA,NA,NA,NA,NA,3.562,1,NA,4.26088531002224,-1.4921547518194,2.38730166982009,10.0399795900097,1.27032218486747,NA,1
"Australia","AU",1998,21318.9641694318,3.49241829793357,24172.6781021459,1.04223571564164,-0.0683724121819623,100.92862,NA,NA,78.6317073170732,NA,17,178,191,NA,73.5544,0.860134629768157,4.57869263513911,"1",NA,NA,NA,NA,NA,3.608,1,NA,4.2980252685076,-0.150666355744625,1.52141350653426,10.0929782702961,1.28315360220038,NA,1
"Australia","AU",1999,20533.035061907,3.87994577617327,25264.3643562136,1.14250518739456,0.0962061367194562,100.65884,NA,NA,78.9317073170732,NA,18,179,163,NA,94.1488,1.48312940304038,1.91589254050916,"1",NA,NA,NA,NA,NA,3.279,1,NA,4.54487650940324,0.394154316962274,0.65018359264658,10.1371501583442,1.18753849786251,NA,1
"Australia","AU",2000,21679.2478424147,2.70128931837841,26318.4162072948,1.19227232344832,0.0435596587243967,100.72193,NA,NA,79.2341463414634,15.1642829179764,29,186,171,"3542802",97.7804,4.45743514797225,9.8917812865881,"1",52.9186031321178,45.08,NA,46.7561156116738,3542802,1.833,1,15.0804284974426,4.58272414795825,1.49457352168067,2.29170423928414,10.1780242091338,0.605953968857568,NA,1
"Australia","AU",2001,19490.8611097303,0.565713355691713,27356.5320619959,1.34835834227145,0.130914737978396,100.63978,NA,NA,79.6341463414634,15.1167973875999,26,194,160,"3774845",91.7903,4.4071353620147,8.64192613687283,"1",52.4103772130099,58,0.639760866973919,52.6892664310395,3774845,1.313,1,15.1438698802196,4.51950662755554,1.48322490061726,2.15662549047863,10.2167106115827,0.272314595320659,0.639760866973919,1
"Australia","AU",2002,20082.4832672749,2.73968940200891,28718.241079556,1.22056378534358,-0.0947778887269587,101.54878,NA,NA,79.9365853658537,15.8833712339401,52,202,136,"4355020",94.6416,2.98157453936349,-0.548080800674569,"1",53.6044674787881,65.3,1.33031856310339,NA,4355020,2.973,1,15.2868397606807,4.55009712569798,1.09245152989353,NA,10.2652877775386,1.08957154401596,1.33031856310339,1
"Australia","AU",2003,23447.0310006717,1.72290634344677,29732.129600229,1.23399666342628,0.0110054699672404,101.67431,NA,NA,80.2390243902439,15.9815803170204,45,209,91,"4758428",107.874,2.73259596616783,0.498110773200636,"1",53.3016282067732,73.11,2.63348771101916,NA,4758428,1.634,1,15.3754279195615,4.68096387937221,1.00525206073285,-0.69693279054688,10.2999835447832,0.491030996437811,2.63348771101916,1
"Australia","AU",2004,30430.6764374443,2.85614767681814,31299.8495244667,1.15935216218033,-0.06049003490714,102.26413,NA,NA,80.490243902439,16.4086505770683,41,212,189,"5057346",121.907,2.34325522482587,1.28976941875554,"1",52.163898869643,82.9,5.09063313944829,NA,5057346,2.98,1,15.4363523977334,4.80325845895665,0.851541084376687,0.254463457246018,10.3513685689917,1.09192330051731,5.09063313944829,1
